ID,City,Name,Web_Lat,Web_Lon,Sys_Name,Sys_Dist,CSV_Name,CSV_Dist,Status
11103,東広島市,岩伏,34.3578611,132.8157777,岩伏,0.0,岩伏,0.0,OK
11104,竹原市,新庄,34.3842222,132.8905555,新庄,0.0,新庄,0.0,OK
11105,廿日市市,宮島町,34.2961111,132.3125,宮島町,0.0,宮島町,0.0,OK
11106,大竹市,栗谷,34.3086388,132.1573888,栗谷,0.0,栗谷,0.0,OK
11107,広島市佐伯区,菅沢,34.4809722,132.2588611,菅沢,0.0,菅沢,0.0,OK
11108,安芸太田町,江河内,34.5905,132.2891666,江河内,0.0,江河内,0.0,OK
11109,安芸太田町,黒峠,34.5692777,132.36625,黒峠,0.0,黒峠,0.0,OK
11110,安芸太田町,水谷,34.61225,132.3536666,水谷,0.0,水谷,0.0,OK
11111,安芸太田町,杉ノ泊,34.6159722,132.27425,杉ノ泊,0.0,杉ノ泊,0.0,OK
11112,呉市,郷原,34.3001944,132.63475,郷原,0.0,郷原,0.0,OK
11113,呉市,警固屋,34.2,132.5466666,警固屋,0.0,警固屋,0.0,OK
11114,呉市,広,34.2466944,132.6293055,広,0.0,広,0.0,OK
11115,呉市,焼山,34.2981388,132.55375,焼山,0.0,焼山,0.0,OK
11116,呉市,呉,34.2538333,132.5870277,呉(気),3734.9,呉(気),3734.9,DIFF
11117,呉市,内海,34.2818333,132.7408888,内海,0.0,内海,0.0,OK
11118,安芸太田町,中ノ原,34.5627777,132.3041388,中ノ原,0.0,中ノ原,0.0,OK
11119,安芸太田町,布原,34.5361666,132.1968888,布原,0.0,布原,0.0,OK
11120,広島市安佐南区,奥畑,34.4586111,132.3758333,奥畑,0.0,奥畑,0.0,OK
11121,広島市佐伯区,五月が丘,34.4201666,132.4051944,五月が丘,0.0,五月が丘,0.0,OK
11122,広島市佐伯区,五日市観音,34.3791666,132.3390555,五日市観音,0.0,五日市観音,0.0,OK
11123,広島市西区,井口台,34.3795833,132.3812222,井口台,0.0,井口台,0.0,OK
11124,広島市東区,牛田早稲田,34.4185277,132.4808888,牛田早稲田,0.0,牛田早稲田,0.0,OK
11125,広島市安佐南区,祇園山本,34.448889,132.438928,祇園山本,0.0,祇園山本,0.0,OK
11126,廿日市市,佐伯,34.3675,132.1777777,佐伯,0.0,佐伯,0.0,OK
11127,廿日市市,玖島,34.3911111,132.25,玖島,0.0,玖島,0.0,OK
11128,廿日市市,八坂,34.2683333,132.2466666,八坂,0.0,八坂,0.0,OK
11129,廿日市市,中山,34.3211111,132.2872222,中山,0.0,中山,0.0,OK
11130,廿日市市,矢草北,34.3341666,132.27,矢草北,0.0,矢草北,0.0,OK
11131,廿日市市,矢草南,34.3277777,132.2616666,矢草南,0.0,矢草南,0.0,OK
11132,廿日市市,奴メリ谷,34.2958333,132.2047222,奴メリ谷,0.0,奴メリ谷,0.0,OK
12001,庄原市,持丸,35.0461111,133.2383333,持丸,0.0,持丸,0.0,OK
12002,庄原市,千鳥,35.0033333,133.2813888,千鳥,0.0,千鳥,0.0,OK
12003,庄原市,所尾,34.9855555,133.2577777,所尾,0.0,所尾,0.0,OK
12004,庄原市,小奴可,34.9905555,133.2113888,小奴可,0.0,小奴可,0.0,OK
